Accuracy,AUROC,AUPRC,max_leaf_nodes,l2_regularization,learning_rate,validation_fraction,max_iter
0.6866249999999999,0.8383324142566458,0.699001738174327,8,0.35,0.035,,25
0.6985,0.8447525253385727,0.7035007124064386,8,0.35,0.035,,50
0.703025,0.8500017680250298,0.71223647002174,8,0.35,0.035,,100
0.7054499999999999,0.8528682169200191,0.7169854858680617,8,0.35,0.035,,150
0.700375,0.8462636008684209,0.7048720976086358,16,0.35,0.035,,25
0.7058875,0.8522632080986167,0.7149693010196544,16,0.35,0.035,,50
0.7090250000000001,0.857578714183752,0.7238337375939186,16,0.35,0.035,,100
0.7116125000000001,0.8609074056540067,0.7291794884809473,16,0.35,0.035,,150
0.7049375,0.852572998623344,0.7154931539414806,32,0.35,0.035,,25
0.7111125,0.858584630889012,0.7262737988776611,32,0.35,0.035,,50
0.7162499999999999,0.8652581377337946,0.7359882070371447,32,0.35,0.035,,100
0.7224125000000001,0.8693518608324731,0.742609193626706,32,0.35,0.035,,150
0.7130750000000001,0.8590472287611572,0.7275795878802328,64,0.35,0.035,,25
0.7201125,0.8663390112120247,0.7395174954808243,64,0.35,0.035,,50
0.729775,0.8747246403611355,0.7516487428653555,64,0.35,0.035,,100
0.7383375,0.8795417818836979,0.7599197674929064,64,0.35,0.035,,150
0.7252750000000001,0.8670846926097108,0.7420638235221445,128,0.35,0.035,,25
0.7364875,0.8758508328330932,0.7562615392789487,128,0.35,0.035,,50
0.7486875,0.8854390284637674,0.7700855765356229,128,0.35,0.035,,100
0.7577625,0.8902411390560843,0.7775409564917176,128,0.35,0.035,,150
