Accuracy,AUROC,AUPRC,n_neighbors,weights
0.6781499999999999,0.8249794405334112,0.6900674832280483,8,uniform
0.684475,0.8313036986267031,0.6971981524904896,8,distance
0.6838,0.8353865010639456,0.6948783076164294,16,uniform
0.6892375000000001,0.8403681526894861,0.7016204382124505,16,distance
0.6835125,0.8377944466862216,0.6953338555443941,32,uniform
0.6878500000000001,0.8415931181841796,0.7007657219235515,32,distance
0.6797,0.8363284998710107,0.6921462634423396,64,uniform
0.682825,0.8392171672160134,0.6965341211997325,64,distance
0.6742000000000001,0.8334455380581944,0.6876975132492267,128,uniform
0.67725,0.8356514467889516,0.6910591983541672,128,distance
0.6685749999999999,0.8294072424114811,0.6823816401010765,256,uniform
0.670925,0.8311863535066643,0.6849983623647395,256,distance
0.6648875000000001,0.8257023330562095,0.677853920968689,512,uniform
0.6664749999999999,0.8270638856630151,0.6797918710275339,512,distance
0.6622375,0.8222675082015641,0.6737153709783621,1024,uniform
0.6629125,0.8233209232600543,0.6752186888886826,1024,distance
0.656175,0.8179033288167126,0.668025050910215,2048,uniform
0.65685,0.8188524174591526,0.6693249125942308,2048,distance
