Accuracy,AUROC,AUPRC,n_neighbors,weights
0.8996585735963581,0.8472886774963495,0.7368438380002924,8,uniform
0.8998861911987859,0.8493647309686349,0.7340362812697585,8,distance
0.8996965098634295,0.8794841014610484,0.7515885615752106,16,uniform
0.9000758725341427,0.8816723122924495,0.7510703334939846,16,distance
0.9003414264036419,0.8996045071193585,0.7606850782182377,32,uniform
0.9007207890743549,0.9009646976578395,0.760896618897115,32,distance
0.8998103186646436,0.9099700854743616,0.7692308004331616,64,uniform
0.8998103186646433,0.9107615219266693,0.7697534988554596,64,distance
0.8990136570561458,0.9127040445584734,0.772480336004068,128,uniform
0.8989757207890744,0.9135361591215118,0.773337511705197,128,distance
0.8982928679817906,0.9125091502606741,0.7741322992755169,256,uniform
0.8984066767830046,0.913310783294917,0.7747889328975598,256,distance
0.8981790591805767,0.9112335021116318,0.7713256546877905,512,uniform
0.8982549317147193,0.9120703916904513,0.7723534552603152,512,distance
0.8996206373292868,0.9093670262030239,0.7704246601394803,1024,uniform
0.8984825493171471,0.9102616158949546,0.771592993336278,1024,distance
0.8878224582701062,0.9049803937657022,0.7674836925897628,2048,uniform
0.8878603945371776,0.9060471779467765,0.7685193922672269,2048,distance
