Accuracy,AUROC,AUPRC,hidden_layer_sizes,early_stopping,n_layers,n_units
0.6867375000000001,0.8394808870821168,0.6969585171606809,"(64,)",True,1,64
0.6874625,0.8403194218789116,0.6967794171216279,"(128,)",True,1,128
0.691025,0.8419013768661469,0.6998182158726205,"(256,)",True,1,256
0.6894375,0.8414069466006501,0.6977072360078274,"(512,)",True,1,512
0.6944250000000001,0.8446857691244001,0.7027933966652441,"(64, 32)",True,2,64
0.6945875,0.8455255074678376,0.7045286603242786,"(128, 64)",True,2,128
0.6947875,0.8453275541326143,0.7031544425497787,"(256, 128)",True,2,256
0.6961250000000001,0.8474731393083401,0.7068444522775519,"(512, 256)",True,2,512
0.6931375,0.84529758968121,0.7041859627747741,"(64, 32, 16)",True,3,64
0.6965125000000001,0.8463724296871513,0.7056029139057096,"(128, 64, 32)",True,3,128
0.694625,0.846109134073448,0.7053694516824931,"(256, 128, 64)",True,3,256
0.6977,0.8478337985244802,0.7073249189132779,"(512, 256, 128)",True,3,512
