Model,Train AUC,Test AUC,Fitting Time,Testing Time
KNN,1.0,0.7592820446345959,0.005441427230834961,80.08379197120667
Decision Tree,0.9283255883270837,0.7403051137728501,1.4161934852600098,0.005069732666015625
Neural Network,0.8843607772886543,0.7149946016876333,459.9918279647827,0.6367027759552002
SVM,0.74062293032907,0.679266964718681,636.9347794055939,67.46391439437866
Boosting,0.8492074550726251,0.7617003434385058,33.058249950408936,0.20830559730529785
KNN,0.7252933259557642,0.6971872645453572,0.0026810169219970703,12.979769945144653
Decision Tree,0.7287224230614415,0.7077668233094712,0.11990046501159668,0.0016074180603027344
Neural Network,0.7138173463175888,0.7078866729975496,23.011985301971436,0.03661608695983887
SVM,0.7752232518151652,0.6712669896583846,48.13106727600098,4.780171871185303
Boosting,0.7491050897281768,0.7210250875118117,1.2508108615875244,0.006329059600830078
