Accuracy,AUROC,AUPRC,min_samples_leaf,max_depth,criterion
0.8759104704097117,0.6982552375518871,0.725454504823046,1,,gini
0.8762898330804247,0.7003329171888764,0.7271740386209243,1,,entropy
0.9039833080424886,0.8607595105915055,0.7179710104025789,1,8.0,gini
0.904248861911988,0.8814215055102368,0.7541337351106457,1,8.0,entropy
0.8953338391502277,0.7205072311122811,0.6941304847303617,1,16.0,gini
0.8899468892261002,0.7608178718189661,0.7107797587038345,1,16.0,entropy
0.8762518968133536,0.6974026580637355,0.7250478673262579,1,32.0,gini
0.8750758725341425,0.701635969332408,0.7265255629588973,1,32.0,entropy
0.8759104704097116,0.6977043686503022,0.7251213898087981,1,64.0,gini
0.8760242792109256,0.6996654731250851,0.7266022476564377,1,64.0,entropy
0.8968892261001518,0.844225269711177,0.7419533431759096,8,,gini
0.8931714719271623,0.8493198802089701,0.7421524398027987,8,,entropy
0.903793626707132,0.8725636026815504,0.7368505174299018,8,8.0,gini
0.9030728376327769,0.8907373068960421,0.7632333535700679,8,8.0,entropy
0.8982549317147193,0.8615299530070928,0.7444987582017273,8,16.0,gini
0.8954476479514417,0.8621304261729396,0.7444461013106306,8,16.0,entropy
0.8969271623672231,0.8450161267933124,0.7417115274810988,8,32.0,gini
0.8932094081942339,0.8494399340018323,0.7420854714285022,8,32.0,entropy
0.896206373292868,0.8446812982920185,0.7411576087482503,8,64.0,gini
0.8932094081942337,0.8499850233103109,0.7419492632542848,8,64.0,entropy
0.9015553869499241,0.8828649551341792,0.7602587445101474,16,,gini
0.8994688922610017,0.8827988138003384,0.754539602748985,16,,entropy
0.9044006069802732,0.880716300058301,0.7406904604698124,16,8.0,gini
0.9037177541729893,0.8971026156493309,0.762549965757128,16,8.0,entropy
0.9021623672230653,0.892013314937663,0.7612299290762744,16,16.0,gini
0.8999620637329286,0.8916488031542089,0.7563374144048666,16,16.0,entropy
0.9017071320182094,0.8828634174590897,0.760064677092852,16,32.0,gini
0.8993550834597877,0.8821625295300312,0.7538425269406571,16,32.0,entropy
0.9016312594840666,0.8832000107636938,0.7597773181681023,16,64.0,gini
0.8992792109256449,0.8823135072693908,0.7541682630142971,16,64.0,entropy
0.9041729893778452,0.9041116454495214,0.7694724371939812,32,,gini
0.9039074355083458,0.9000072009278555,0.7684724247737351,32,,entropy
0.9049317147192717,0.8870037685735024,0.7639730476339541,32,8.0,gini
0.9047040971168437,0.8994289989647941,0.7676831304410524,32,8.0,entropy
0.9041729893778452,0.9104968092365017,0.7706802080566675,32,16.0,gini
0.9037177541729893,0.9043767343419875,0.7690403504287827,32,16.0,entropy
0.9041729893778452,0.9045625002943142,0.7698165941694132,32,32.0,gini
0.9036798179059179,0.8998988159493202,0.7682258457110219,32,32.0,entropy
0.9041729893778452,0.9044028357291163,0.7695127186333612,32,64.0,gini
0.903793626707132,0.9000267027993802,0.768385191965152,32,64.0,entropy
0.9053869499241275,0.9079367820448461,0.7712432542327813,64,,gini
0.903338391502276,0.907973972741066,0.770955876015264,64,,entropy
0.9055766312594841,0.8885364964081164,0.7638835420483723,64,8.0,gini
0.9040591805766314,0.8999782833519754,0.7662934560733896,64,8.0,entropy
0.9053869499241275,0.9095538440118087,0.7713698057573446,64,16.0,gini
0.903338391502276,0.9096390285639948,0.7713972461279359,64,16.0,entropy
0.9053869499241275,0.9080673055256732,0.7712742398464609,64,32.0,gini
0.903338391502276,0.9078241342893204,0.7708857412515269,64,32.0,entropy
0.9053869499241275,0.9081266946607893,0.7712808813417225,64,64.0,gini
0.903338391502276,0.9078626190138526,0.7708992765324936,64,64.0,entropy
0.9030728376327769,0.9078341281432781,0.7704751045925845,128,,gini
0.90402124430956,0.9101255368230612,0.7685708938479079,128,,entropy
0.9030728376327769,0.8941397048251595,0.7644831336651519,128,8.0,gini
0.9032245827010623,0.8960746630951373,0.7585078768382523,128,8.0,entropy
0.9030728376327769,0.9083164531225691,0.7705572892216344,128,16.0,gini
0.90402124430956,0.9100374474090611,0.7685362111774634,128,16.0,entropy
0.9030728376327769,0.9078341281432781,0.7704751045925845,128,32.0,gini
0.90402124430956,0.9100536283591836,0.7685417471595529,128,32.0,entropy
0.9030728376327769,0.9077861795592271,0.7704662732138501,128,64.0,gini
0.90402124430956,0.9100387682816734,0.7685366047075285,128,64.0,entropy
0.9020485584218513,0.9031885446671248,0.7684101749932323,256,,gini
0.8974203338391502,0.9072975295184754,0.765170882302502,256,,entropy
0.9020485584218513,0.8963613300859592,0.7648113822046556,256,8.0,gini
0.8974203338391502,0.8947028273842538,0.7561315572434166,256,8.0,entropy
0.9020485584218513,0.9031885446671248,0.7684101749932323,256,16.0,gini
0.8974203338391502,0.9072975295184754,0.765170882302502,256,16.0,entropy
0.9020485584218513,0.9031885446671248,0.7684101749932323,256,32.0,gini
0.8974203338391502,0.9072975295184754,0.765170882302502,256,32.0,entropy
0.9020485584218513,0.9031885446671248,0.7684101749932323,256,64.0,gini
0.8974203338391502,0.9072975295184754,0.765170882302502,256,64.0,entropy
